title,year,certificate,runtime,genre,desc,rating,votes
Shyam Singha Roy,2021,UA,155 min,"Drama, Romance            ",The extraordinary journey of a soldier that brought a nation together. It stars Sooraj Pancholi and Megha Akash in the lead roles and is directed by Irfan Kamal.,6.3,"1,162"
Jaane Tu... Ya Jaane Na,2008,U,155 min,"Comedy, Drama, Romance            ","The serial is about Indian Emperor, Ashoka, grandson of Chandragupta Maurya. The story starts with young Ashoka (Siddharth Nigam) who is getting guidance from Chanakya(Manoj Joshi) . ...                See full summary »",6.7,729
Lakshya,2004,UA,186 min,"Action, Drama, Romance            ","After Nihilistic rapper Gandu steals from his mother's lover, he embarks on a drug-fueled rampage with a rickshaw puller in this abstract film.",5.5,"2,561"
PM Narendra Modi,2019,U,136 min,"Biography, Drama            ","Four friends, Ramkumar, Kalyan, Parameshwaran and Abdulla, who share a troubled history and familial strife, meet at Ramkumar's Hotel. This happenstance get-together ends up in fresh tension, leading to unforeseen consequences.",5.5,789
Tubelight,2017,U,136 min,"Drama, War            ","A biopic based on the life and struggles of Mithali Raj, Indian Cricketer, and captain of the Indian National Cricket team.",5.6,"7,881"
Badrinath Ki Dulhania,2017,UA,139 min,"Comedy, Drama, Romance            ","Nikhil is re-introduced to Meeta nearly ten years after their first meeting. Now, as Nikhil has one week to prove himself worth enough to marry Meeta's sister Karishma, the old acquaintances become quite close to each other.",6.8,"15,440"
Dr. 56,2022,UA 16+,null,Mystery            ,Durga and Aditya find themselves in a time loop and a life-threatening situation.,7.4,37
RRR: Naatu Naatu,2021 Music Video,null,5 min,Music            ,He lives under the dark shadow of a Jinn while she is blessed with angelic qualities. What turn will Aman and Roshni's lives take when the two entangle in a 'magical' love story?,6.7,389
Avane Srimannarayana,2019,UA,186 min,"Action, Adventure, Comedy            ","Prem and Nisha meet and fall in love at the wedding of their elder siblings, but their plans to be together are put in jeopardy when Nisha's sister dies, leaving behind a baby.",7.5,"21,440"
Karthik Calling Karthik,2010,UA,135 min,"Drama, Mystery, Romance            ",A folk tale - supernatural love story about a ghost who falls in love with a newlywed woman.,6.3,"13,456"
NH10,2015,A,115 min,"Action, Crime, Drama            ","Amar, Meet and Prem go into a small town where they encounter a 'femme fatale' in the form of Ragini. Ragini is everything they had dreamed of, but she slowly turns into their worst nightmare!",3.7,"2,800"
London Files,2022–,UA 16+,36 min,"Action, Crime, Drama            ","Touted to be a socio-political actioner, the plot revolves around a middle-aged Naxalite-turned-social reformer who launches a fight against the Endowments Department over misappropriation of temple funds and donations.",3.8,"4,307"
Baazaar,2018,UA,137 min,"Crime, Drama, Thriller            ","When an alien disguised as a cat lands on Earth, Coop Burtonburger's little sister, Millie finds him and brings him home where bedlam ensues.",6.1,"3,440"
Kites,I 2010,UA,123 min,"Action, Drama, Romance            ","After being conned by the woman he loves, a finance agent arrives in India from USA to retrieve his money from the woman's father, a powerful MP and an industrialist.",5.6,"10,055"
Kahaani,2012,UA,122 min,"Mystery, Thriller            ","New generation love birds, Riddhi and Kevin, shrewdly tackle the issue of 'Naadi Dosh', an old and dogmatic faith.",7.3,"1,004"
Varalaru Mukkiyam,2022,UA,150 min,"Comedy, Romance            ","Forced to live apart due to a unique job prospect, two newlyweds face the hassles, hiccups - and hilarity - that arise from their long distance marriage.",7.0,"17,757"
Anel Meley Panithuli,2022,A,null,Drama            ,"A teenage boy becomes smitten with his new drama teacher and pursues her, despite the perilous risks of being found out.",3.2,"1,314"
Pardes,1997,U,191 min,"Drama, Musical, Romance            ",Tintin is a cartoonist. He went to college and fell in love with Rohini. Rohini rejects him and then a series of events happened in their life.,7.0,"1,565"
Jinnah,1998,null,110 min,"Biography, Drama, War            ","In the backdrop of a destination wedding in London, two families try to save their respective empires, unbeknownst to each other.",3.6,"5,921"
Guns & Gulaabs,,null,null,"Comedy, Crime, Romance            ","A guy who is just a flirt, finds his true love and has to change his identity to make it a success.",6.7,290
Karthikeya,2014,UA 13+,113 min,"Mystery, Thriller            ","An NRI and his wife decide to stay in his ancestral home, paying no heed to the warnings about ghosts. Soon, inexplicable occurrences cause him to call a psychiatrist to help solve the mystery.",7.4,"29,095"
Bhavesh Joshi Superhero,2018,UA,154 min,"Action, Crime, Drama            ","Imlie, a young and smart village belle, is forced to marry a journalist after they seek shelter in a hut during heavy rains. On reaching the city, she realises that her husband is engaged to be married.",3.8,"1,355"
Eternally Confused and Eager for Love,2022–,18,22 min,"Comedy, Romance            ","When Satya raises his voice against Guru, the latter revolts and bashes the former to hell. Satya makes a comeback as a cop to take revenge on Guru and put an end to his crime in Kurnool city.",4.7,"1,511"
Ship of Theseus,2012,UA,139 min,Drama            ,"Thiru, a financial analyst swiftly climbs up the corporate ladder. He soon finds his world turned upside down and is set for a collision with a mysterious deadly group headed by a brutal killer.",6.9,181
Class,,18,60 min,"Crime, Drama, Thriller            ",An Indian intelligence agent journeys to a war-torn coastal island to break a resolute rebel group and meets a passionate journalist.,7.6,"24,753"
Panipat,2019,U,165 min,"Action, Drama, History            ","After losing his job as a factory-floor manager during the pandemic, Manas (Kapil Sharma) becomes a driver for a food-delivery app called Zwigato. With a familiar rectangular backpack, he ...                See full summary »",8.3,111
The Forgotten Army - Azaadi ke liye,2020,A,194 min,"Action, Drama, History            ","Rom-com Movie, directed by Raaj Shaandilyaa, stars Ayushmann Khurrana who plays a 'dream girl'. In every love story, there is always one trying to win the heart of the other, who could be the 'dream girl'.",7.0,"14,731"
Krrish 3,2013,U,152 min,"Action, Adventure, Sci-Fi            ",Ilavarasi is a treasured daughter of her doting father who has lost his wife to a wild elephant attack. Her life revolves around her father and her ambitions is to serve her village as an ...                See full summary »,9.8,49
Ki & Ka,2016,UA,126 min,"Comedy, Romance            ",The Lift Boy is a coming of age story of a 24-year-old vagabond who is forced to work at a posh building in Mumbai as a Lift Boy when his bread-winning father falls ill.,7.2,"2,802"
Life in a Metro,2007,A,132 min,"Comedy, Drama, Romance            ",A dreamer falls for a girl who is in love with someone else and tries to create a rift between her and the man she loves.,7.7,"18,489"
Qismat 2,2021,UA,155 min,"Drama, Romance            ","Expelled from his school, a 16-year old boy returns home to his abusive and oppressive father.",8.1,"45,379"
Raajneeti,2010,UA,163 min,"Crime, Drama, Thriller            ","A love triangle between a guy and two girls, who are best friends but the complete opposite of one another.",6.3,"14,299"
Spyder,2017,UA,155 min,"Action, Crime, Thriller            ",A blind man seeks revenge against a corrupt politician and his brother after his wife is raped and killed.,7.1,"27,396"
Desi Boyz,2011,A,122 min,"Comedy, Drama, Romance            ","Following the death of Ashish, the promised heir to the Gaikwad political legacy, it is Ameya Rao Gaikwad's rebel daughter Poornima who's at the helm of affairs as the interim chief minister of Maharashtra.",7.7,"3,303"
Jagga Jasoos,2017,UA,161 min,"Action, Adventure, Comedy            ","Police officers recount a tale of missing money which results in lies, deceit, betrayal and death.",7.9,"12,545"
Banaras,2022,UA,150 min,Romance            ,Story of a married couple in whose house a servant boy works. The couple are constantly fighting and on the verge of a break-up and then one day something happens which puts all 3 of them through a dizzying tension.,3.0,241
Satellite Shankar,2019,UA,135 min,"Action, Drama            ",Two sisters who love each other enough to share their life and breath with each other.,5.7,240
Chakravartin Ashoka Samrat,2015–2016,13,null,"Biography, History            ",An invigorating tale of a young girl who is forced into a marriage of convenience with an elderly man twice her age.,5.7,119
Gandu,2010,(Banned),85 min,Drama            ,"Kundan, the son of a Hindu pundit, discovers that his childhood sweetheart Zoya loves city-bred Akram and wants to marry him. However, he persistently seeks to win her heart.",7.6,"33,035"
Theerppu,2022,UA,156 min,"Drama, Thriller            ","Krish and Chitra are lovers. Due to a minor difference between the two, they go separate ways. The break-up in love deeply affects Krish, who goes into a state of mental depression. He spends his life narrating his tale of woes to people.",6.4,"2,734"
Shabaash Mithu,2022,UA,156 min,"Biography, Drama, Sport            ","Hatim is on an adventurous journey with his friend Hobo, to find answers of the 7 question so that a boy become normal who was turned down into stone by Dajjal (a servant of Satan )",8.6,"1,786"
Hasee Toh Phasee,2014,UA,141 min,"Comedy, Romance            ","Ethan, a magician rendered paralyzed in an accident, sets off a furor when he makes a petition to the court to end his own life.",7.4,"18,911"
Boomi Enna Suthuthey,2022–,null,null,Thriller            ,"An ex-army officer, Kabir, becomes a teacher in Kashmir in a school that is in a miserable condition. Things take a turn when Kabir finds a notebook, left behind by the previous year's teacher Firdaus (Pranutan Bahl).",6.9,"2,820"
Yehh Jadu Hai Jinn Ka,2019–2020,U,22 min,"Drama, Fantasy, Romance            ","Believing himself to be jinxed, a man attempts to find true love, but instead gets caught in a web of lies.",5.5,"14,638"
Hum Aapke Hain Koun..!,1994,U,206 min,"Comedy, Drama, Musical            ","When the young Viren comes to India for the first time, he is captivated by Pallavi. When he learns she is already spoken for, he returns to London a broken man. When he gets the news of ...                See full summary »",7.2,"2,951"
Paheli,2005,U,140 min,"Comedy, Drama, Fantasy            ","Real life mom-daughter duo Neena and Masaba Gupta play versions of themselves in this playful, fictional peek into their lives in fashion and film.",6.7,"2,179"
Great Grand Masti,2016,A,134 min,"Comedy, Drama, Fantasy            ","""Being Cyrus"" is a dark, comedic venture by the debutante director Homi Adajania that spins around the Sethnas - a Parsi family.",7.1,"2,878"
Acharya,2022,UA,152 min,"Action, Drama            ",Add a Plot,7.1,119
Kid vs. Kat,2008–2011,null,22 min,"Animation, Short, Action            ",One of the greatest and bravest incident from the life of The Great Maratha King Chhatrapati Shivaji Maharaj where he defeated Afzalkhan with his brilliant tactics and courage.,8.5,"2,464"
Sarkaru Vaari Paata,2022,UA,162 min,"Action, Drama            ","Ramkishen and Mamta have three sons Vivek , Prem and Vinod and a daughter Sangeeta. This family is part of a joint family whose close knit bond is challenged by a misunderstanding.",6.3,"8,829"
Naadi Dosh,2022,UA,131 min,"Drama, Family, Romance            ","A thriller drama series, revolving around Rivanah Bannerjee, an independent girl, living alone in Mumbai. She has the perfect life: doting parents, a loving boyfriend, and a great job. But ...                See full summary »",8.1,"16,203"
Meenakshi Sundareshwar,2021,UA 13+,140 min,"Comedy, Romance            ",A martial arts student seeks revenge after the murder of his master.,5.3,"9,299"
Nasha,2013,A,122 min,"Drama, Thriller            ","A developmentally disabled young man tries to continue the work his father did in communicating with extra-terrestrials from outer space, which leads to something miraculous and wonderful.",7.1,"24,792"
Kishmish,2022,U,141 min,"Comedy, Drama, Romance            ",A truly honest police officer is transferred to a town controlled by a gangster he has humiliated. The gangster believes he can use good power to bring down this officer who made him look foolish and weak.,6.8,"17,358"
Shaandaar,2015,UA,144 min,"Comedy, Drama, Romance            ",A failed cricketer decides to revive his cricketing career in his late 30's despite everyone being skeptical of his ability to do so.,8.5,"18,435"
Leelai,2012,null,145 min,"Comedy, Romance            ","A poor but big-hearted man takes orphans into his home. After discovering his scientist father's invisibility device, he rises to the occasion and fights to save his children and all of India from the clutches of a megalomaniac.",7.8,"15,733"
Bhool Bhulaiyaa,2007,UA,159 min,"Comedy, Horror, Mystery            ",Jolly is a clumsy lawyer who is faced with representing the most critical court case of his career.,7.2,"25,810"
Imlie,2020–,PG,null,Drama            ,"Life at home changes when a house-wife from a middle-class, conservative family in Calcutta gets a job as a saleswoman.",8.3,"4,485"
The Warriorr,2022,UA,155 min,"Action, Crime, Drama            ","Mia discovers her magic stone is part of an ancient prophecy and embarks on a thrilling journey to the farthest islands of Centopia to face a great evil, and shape her own destiny.",5.6,456
Kalagathalaivan,2022,UA,141 min,"Action, Thriller            ","The love story of Aarav and Tanya who meet while boarding a train to their hometown. A cute love story with the duo entangled in mutual, yet unspoken feelings for each other without any pretence, judgement, or any inhibitions.",7.9,680
Madras Cafe,2013,UA,130 min,"Action, Drama, Thriller            ","A villager, Gurukant Desai, arrives in Bombay 1958, and rises from its streets to become the GURU, the biggest tycoon in Indian history.",7.7,"24,091"
Zwigato,2022,null,105 min,Drama            ,News channels Awaaz Bharati News and Josh 24/7 have opposing principles that lead to a fierce rivalry. The dynamic journalists attempt to balance their lives while facing an uncertain future.,7.6,"1,037"
Dream Girl,III 2019,UA,132 min,"Comedy, Romance            ","A small-time gangster named Chandu teams up with Malik, a low-level enforcer for a criminal syndicate. Together they eliminate all their enemies, becoming the most feared gangsters in Mumbai.",8.0,"15,622"
Ovalley,2022,UA,120 min,Thriller            ,"A hilarious story of a 36-year-old jobless man Pushpender, trying to find a wife and Anita who's also looking for a husband. But there's a catch - Anita wants to settle abroad after marriage.",5.8,"2,974"
The Lift Boy,2019,UA,107 min,"Comedy, Drama            ",The film is set in the late 90s revolving around the life of a young high range rubber planter from Mundakayam and his rivalry with a high ranking officer in the Kerala Police.,6.1,"2,907"
Kabhi Haan Kabhi Naa,1994,13,158 min,"Comedy, Drama, Music            ","A film about the investigations following the 1993 serial Bombay bomb blasts, told through the different stories of the people involved --police, conspirators, victims, middlemen.",8.4,"21,162"
Udaan,2010,UA,134 min,Drama            ,A reunion with friends changes the way Godse perceives the system. He begins to unravel the system's hidden agenda that robs off the careers and lives of students. What follows is a fight between Godse and the government for justice.,5.6,"1,048"
Cocktail,2012,UA,146 min,"Comedy, Drama, Romance            ","Hitler used a symbol for his political and racial ideology. The world today calls that symbol ""Swastika"", an Indian name to a symbol used by Hindus, Buddhists, and Jains for ages. But was it a Swastika? or Something else?",9.6,"10,280"
Kaabil,2017,UA,139 min,"Action, Crime, Drama            ",What starts as a crazy one-night stand ends up in a relationship. But Dharam and Shyra fall out of love just as quickly. Where will life take them now?,4.1,"7,832"
Mayanagari - City of Dreams,2019–,18,40 min,"Crime, Mystery, Thriller            ","The Noons are a family with values, traditions, and legacy. Rithwik, the eldest son of the family, is the most loved. His life revolves around work and family, leaving no room for love, ...                See full summary »",7.6,682
Johnny Gaddaar,2007,A,135 min,"Crime, Drama, Mystery            ","Ye Hai Mohabbatein, based on a novel Custody by Manju Kapoor, showcases divorce, infertility, remarriage, mature love and deals with societal issues. It follows the story of Raman and ...                See full summary »",4.5,996
The Lost Ship,2023,null,null,"Action, History, Mystery            ","A Hindu Brahmin falls for a Christian girl and they both lie to their parents, only for their lies to be revealed.",7.6,"6,994"
Almost Pyaar with DJ Mohabbat,,null,null,"Drama, Romance            ","A historical action epic inspired by the life of Uyyalawada Narasimha Reddy, who revolted against the atrocities of East India Company 10 years before the Sepoy Mutiny.",7.3,"8,004"
Naked Nanga Nagnam,2020,null,22 min,"Short, Drama, Romance            ","It show is about the heroic deeds and adventures of a superhero called Hero, who is bestowed with out-of-this-world magical powers by the Goddess Durga to help him fight the criminals and supervillains.",7.2,350
Ek Hazaaron Mein Meri Behna Hai,2011–2013,PG,21 min,Drama            ,A young scion of a powerful family with a long history of violence decides to put an end to the bloodshed which leads him to a path of self discovery.,7.3,"8,779"
Bandini,2009–2011,Not Rated,20 min,Drama            ,"In a near-future world where an oppressive regime segregates society, one woman skirts the system to search for the daughter taken from her years ago.",5.0,"9,045"
The Railway Men,,null,null,null,A police officer is on a chase to hunt down a dreaded gangster to fulfill his own secret agenda.,6.0,"6,431"
Raanjhanaa,2013,UA,140 min,"Drama, Romance            ",A grief-stricken cop and an amputee grandmaster are brought together by a peculiar twist of fate as part of a wider conspiracy that has darkened their lives.,7.1,"19,226"
Nenevaru,2022,null,122 min,"Action, Romance, Thriller            ","Madhav meets a girl named Riya and falls in love. After stuggling to convince her to be his girlfriend, she half heartedly agrees to be his ""Half Girlfriend""",4.5,"7,433"
Hatim,2003–2004,Not Rated,45 min,"Action, Adventure, Fantasy            ","A recently separated single mother, her commitment-phobic younger brother, and her smart but confused teenage daughter - all of whom make a sweet, unconventional family of three try their best to handle dating, relationships, and life.",8.3,"3,435"
Guzaarish,2010,UA,126 min,"Drama, Romance            ",A group of officers who work for the Crime Investigation Department of the police force seek the help of a professional forensic expert and solve various criminal cases.,6.8,"3,792"
Notebook,I 2019,U,115 min,"Drama, Romance            ","A simple-minded cowherd, Balraju is mocked by the villagers who take advantage of his innocence. His loving grandmother worries for him but finds a girl Anjamma and gets them married. And ...                See full summary »",8.3,"1,551"
Housefull,2010,UA,144 min,"Comedy, Drama, Romance            ","An angel, a man and 4 orphans come together to bring you a story filled with fun, excitement, tears, love and magic.",4.9,"2,732"
Lamhe,1991,U,187 min,"Drama, Musical, Romance            ","Karnan, a fearless village youth, must fight for the rights of the conservative people of his village, due to the torture given by a police officer.",8.0,"22,272"
Vedaat Maratha Veer Daudale Saat,,null,null,History            ,"When the titular antagonist of an action game takes on physical form, it's only the game's less powerful protagonist who can save his creator's family.",4.7,"43,285"
Masaba Masaba,2020–,18,50 min,"Comedy, Drama            ","A love triangle between a spirited young woman, her outgoing boyfriend and a fiance who's husband material.",6.9,"8,673"
Being Cyrus,2005,A,90 min,"Drama, Thriller            ",A realtor finds himself accompanied by two ghostly entities inside a mansion. He learns of a violent event that took place years ago and is sent back in time to prevent it from happening.,6.3,"2,450"
Tu Zakhm Hai,2022–,U,null,Romance            ,"Adi and Tara move to Mumbai to pursue their dreams. A chance meeting sparks off a heady, no strings attached romance until their careers pull them apart. Will ambition prevail over matters of the heart?",5.2,"4,349"
Sher Shivraj,2022,UA,143 min,"Action, Drama, History            ","Simmba, a Corrupt Officer, enjoys all the perks of being an immoral and unethical police officer until a life-changing event forces him to choose the righteous path.",5.7,"23,423"
Hum Saath-Saath Hain,1999,7,177 min,"Drama, Musical            ","The nine episodes represent a different emotion or rasa such as anger, compassion, courage, disgust, fear, laughter, love, peace and wonder.",5.8,"3,612"
Hello Mini,2019–,18,25 min,Thriller            ,A romantic comedy about an Indian stuntman who takes Hollywood by storm but cannot find true love.,3.8,"7,266"
Aashiqui 3,,null,null,"Drama, Music, Romance            ","Shortly after a tornado rips through her Kansas home, Dorothy returns to Oz to save her friends from a villainous jester.",5.0,"6,078"
Baaghi,2016,UA,133 min,"Action, Romance, Thriller            ","Poonam, a traditionally brought-up young woman, is to marry Prem, a groom chosen by her uncle. Poonam and Prem's faith and love are to be tested however, when an accident occurs and Poonam might be scarred for life.",6.6,"10,093"
Koi... Mil Gaya,2003,U,171 min,"Action, Drama, Romance            ",A barbarian woman with a miraculous healing staff gains the help of a group of to-be heroes as an army of dragons invades the land.,4.8,"3,093"
Singham,2011,UA,143 min,"Action, Crime, Drama            ","The cathartic tale of a young woman who can't see, hear, or speak, and the teacher who brings a ray of light into her dark world.",8.1,"35,186"
Jersey,2019,U,157 min,"Drama, Sport            ","The riveting stories of Sight, Smell, Sound, Taste, and Touch embark on a quest of Peace, Fear, Will, Love, and Tenacity through a Modern-day fairy tale.",9.6,38
Mr. India,1987,U,179 min,"Action, Comedy, Drama            ",A boxer struggles to make his mark in the boxing world.,8.0,"7,989"
Jolly LLB 2,2017,UA,137 min,"Comedy, Drama            ",A reclusive pawn shop owner sets his sights on revenge when vicious gangsters kidnap his drug-addicted neighbor's young daughter.,6.8,"8,547"
Mahanagar,1963,U,131 min,Drama            ,A tough army major is deployed to Kurnool on a mission to keep the country safe from external threats.,5.8,"8,065"
Mia and Me: The Hero of Centopia,2022,PG,85 min,"Animation, Adventure, Family            ",The different journeys of six regular Indians as they struggle to win fame and fortune on a social-media app called Escaype Live. Will the lines between real and virtual begin to blur as they gear up for the contest?,7.5,"4,426"
Ishq Express,2022–,UA 13+,90 min,Romance            ,The plot of the movie is set in the era of the 80s and 90s which were marked as a transformed period of Mumbai.,5.9,"9,676"
Guru,2007,U,162 min,Drama            ,Sajeevan is a lazy Auto Rickshaw driver who marries the determined Radhika. Circumstances force Radhika to take up driving the Auto Rickshaw for a living.,6.4,694
The Broken News,2022–,UA,280 min,Drama            ,"Simran gets Ranjeet arrested for crimes. Ranjeet escapes, but returns in disguise to visit Simran. Unaware of the identify of his visitor, Simran informs Sumeet, who organizes a party. ...                See full summary »",9.4,"1,076"
Company,2002,A,142 min,"Action, Crime, Drama            ","Dude depicts the life of a detective, scrambling to hunt down the answers behind a baffling case. It reels him into twisted relationships filled with perplexing events.",8.6,"3,742"
Motichoor Chaknachoor,2019,UA,150 min,"Comedy, Romance            ","When a car breakdown forces a couple to seek shelter in a nearby home, conversations with the stranger inside soon suggest there's a killer among them.",5.8,"3,275"
Kaduva,2022,UA,155 min,"Action, Drama, Thriller            ","Aspiring comedians from all over India compete to see who will be the future of funny. Mentored by the biggest comics in the country, find out who will be crowned the winner of Comicstaan.",6.8,"2,470"
Black Friday,2004,(Banned),143 min,"Action, Crime, Drama            ",An ex-cop is hired by a pimp to find missing call girls and the man responsible behind their abduction.,6.3,"7,304"
Godse,2022,UA,145 min,"Action, Thriller            ","The wacky adventures of a young man who is willing to sacrifice his own love to insure the happiness of others, even trying to get the girl of his dreams married to the guy of her dreams.",6.4,"15,071"
The Silence of Swastika,2021,null,56 min,"Documentary, History            ","Jay doesn't believe in love Stories, and Simran, is a girl who's in love with the idea of Love itself.",5.6,"8,189"
Befikre,2016,UA,130 min,"Comedy, Drama, Romance            ",A suicide bomber loses his memory and has a bomb attached to his heart. It is up to the police officers to prevent this bomb from taking innocent lives.,6.1,"1,108"
Dil Hi Toh Hai,2018–,18,22 min,"Drama, Romance            ","The story revolves around how different people in the family adjust to the magical powers of naani and her daughters, who use their magical powers for their needs.",7.4,"1,641"
Yeh Hai Mohabbatein,2013–2019,PG,20 min,Drama            ,"A father doesn't want his three daughters to get married. Now, it's up to three men to try to and convince the father that they're a good fit for his daughters.",4.9,"9,854"
Ante Sundharaniki,2022,U,173 min,"Comedy, Romance            ",2 romantic couples moves out for a trip and stay at Couples Guest House. The romance-filled story turns upside down and become a nightmare.,6.0,77
Sye Raa Narasimha Reddy,2019,UA,167 min,"Action, Adventure, Drama            ",It's a story about a guy (Arjun) who's in prison from last 2 years and is telling his lawyer his past of being a misogynist and his love story with an aspiring Singer (Arohi). How everything changed and later destroyed. How he ended in the jail.,7.4,419
Hero Bhakti Hi Shakti Hai,2005–2007,Not Rated,30 min,"Action, Adventure, Drama            ",A traveler decides to assist a woman involved in a murder.,7.4,593
Aravindha Sametha Veera Raghava,2018,UA,162 min,"Action, Drama            ",A man embarks on a bloody rampage to save his kidnapped brother.,2.1,"12,788"
Leila,2019–,15,48 min,"Drama, Sci-Fi            ",A comedy of errors wherein four men help each other to fool their prospective father-in-laws creating a cascade of confusion and mayhem.,5.3,"14,911"
Darbar,2020,UA,159 min,"Action, Crime, Thriller            ",A satirical comedy about a common man and the struggle he goes through to prove his existence after being falsely being declared dead on government records.,7.3,"8,985"
Wazir,I 2016,UA,103 min,"Action, Crime, Drama            ","Three friends Pargat, Goldy, and Jeeta who all are involved in illegal activities. Their lives take a gripping turn when they kill the accomplice of Balbir, a well-known man of Chandigarh, who is now after them.",7.7,219
Half Girlfriend,2017,UA,135 min,"Drama, Romance            ","After a distressing incident, a Delhi man vows to believe only what he can see, but his new ideals soon take his life in extreme directions.",7.9,"11,802"
Hiccups and Hookups,2021–,7,null,"Comedy, Drama            ",A fraudster gets to fulfill his childhood dream of being a superhero when he takes on a ruthless businessman whose business strategy is to crush the dreams of children.,6.3,"2,190"
C.I.D.,1998–2018,12+,42 min,"Crime, Drama, Mystery            ","Amidst the chaos of demonetization, down-on-luck Armaan finds a business opportunity in money laundering. Where will this shortcut take him?",6.9,"4,453"
Balraju,2022,UA,103 min,"Action, Drama, Mystery            ",An ethnic Canadian hockey player struggles against traditional family values and discrimination from mainstream hockey players.,5.7,"2,404"
Thoda Pyaar Thoda Magic,2008,U,145 min,"Comedy, Drama, Family            ","Nail Polish, written and directed by Bugs Bhargava Krishna, stars Arjun Rampal, Manav Kaul, Anand Tiwari and Rajit Kapur. It's a legal thriller that explores the uncertainty of the human mind.",7.3,"5,330"
Karnan,2021,UA,158 min,"Action, Drama            ","A spiritual love-story set in the majestic landscape of Ladakh, Himalayas. Samsara is a quest; one man's struggle to find spiritual Enlightenment by renouncing the world. And one woman's ...                See full summary »",7.7,"8,031"
Ra.One,2011,U,156 min,"Action, Adventure, Sci-Fi            ","Raj is a heartbreaker. His love stories with Mahi, Radhika, and Gayatri finally teach him about love and life in their own sweet, sexy, and sassy ways.",6.2,"11,746"
Manmarziyaan,2018,UA,156 min,"Comedy, Drama, Romance            ",Inspired by the life of a fearless young officer who made history by becoming the first Indian female Air Force officer to fly in a combat zone during the 1999 Kargil War,5.6,"34,923"
Haunted - 3D,2011,A,143 min,"Action, Fantasy, Horror            ",A lazy youth failing to take up any responsibility is sent to work with his father's friend in Goa where he meets a woman who has problems of her own.,5.0,"8,643"
OK Jaanu,2017,UA,135 min,"Drama, Romance            ","After mobiles start mysteriously flying out of the hands of people in Chennai, Dr Vaseegaran summons his trusted robot Chitti to ward off the bird-shaped supernatural powers of Pakshirajan.",6.1,"25,002"
Simmba,2018,UA,158 min,"Action, Crime, Drama            ","Krishna is forced by circumstances to use his superpowers and become the masked superhero Krrish, before getting drawn towards his lost legacy.",6.4,"21,852"
Satyaprem Ki Katha,2023,null,null,"Drama, Musical, Romance            ","Season 2 continues the chase for Sahil Gujral with a big opening twist-Sahil's wife, Suhani- the one he framed for his murder is shot dead. Will the secrets buried in Season 1 be exposed or will Sahil get away with the gone game once more?",8.0,"14,279"
Navarasa,2021–,18,30 min,Drama            ,"Radhe is a ruthless gangster who will kill anyone for money. He is attracted towards Jhanvi, a middle class girl, who does not approve of his work and wants him to change.",6.6,"24,598"
Kambakkht Ishq,2009,UA,142 min,"Action, Comedy, Romance            ","When his fiancee's niece is kidnapped, a stoic army doctor and his motley team launch a rescue operation in which they need both wit and their wits.",7.4,"16,724"
Legends of Oz: Dorothy's Return,2013,PG,88 min,"Animation, Adventure, Family            ",Anonymous cyber pirates are threatening to release a highly anticipated film featuring a massively popular star. It's up to the cop Rudra to find the lawbreakers and bring them to justice.,6.7,"1,039"
Vivah,2006,U,160 min,"Drama, Musical, Romance            ",A heartbroken writer struggling with writer's block goes to a quiet hill station where he finds love again but uncovers a copycat serial killer who has mysteriously come alive and is killing everyone around him.,3.6,"1,019"
Dragonlance: Dragons of Autumn Twilight,2008 Video,PG-13,90 min,"Animation, Action, Adventure            ","Ek Nanad Ki Khushiyon Ki Chaabi, Meri Bhabhi is a show about the lovely bond shared between a sister-in-law and daughter-in-law. Shraddha the nanad finds a friend in Kritika her bhabhi. ...                See full summary »",7.4,62
Black,2005,U,122 min,Drama            ,"The adventures of three young boys, who want to capture India's most-wanted fugitive Dawood Ibrahim.",6.5,869
Panchatantram,2022,U,141 min,Drama            ,"This Spin-off from Baby (2015) provides the back-story of intelligence agent Shabana, and chronicles how she becomes a spy.",6.2,"6,973"
Mukkabaaz,2017,UA,154 min,"Action, Drama, Sport            ","After finding out about an illegal arms deal, a military intelligence officer goes rogue with highly sensitive data related to his organization, causing his mentor: a colonel, to hunt him down.",5.3,"4,860"
Rocky Handsome,2016,A,119 min,"Action, Crime, Drama            ","Wanting to earn fame and fortune, a small time lawyer files a PIL for an infamous hit-and-run, and thus learns what it really is like to be a lawyer.",7.5,"20,302"
Sarileru Neekevvaru,2020,UA,169 min,"Action, Comedy, Drama            ","Paranormal activity at a lush, abandoned property alarm a group eager to redevelop the site, but the eerie events may not be as unearthly as they think.",5.5,"2,599"
Escaype Live,2022–,A,47 min,"Action, Drama, Thriller            ","A man suffering from insomnia is tricked into buying a drug, Lucia, that makes his desires come true in his dreams, blurring the line between fantasy and reality.",8.3,"12,575"
Mumbai Saga,2021,A,135 min,"Action, Crime            ","Three young friends in Goa plan to search an old villa for ghosts, but when a new family moves in, the home's buried past resurfaces in chilling ways.",6.5,"4,002"
Autorickshawkarante Bharya,2022,null,114 min,Drama            ,A young boy is seduced by a woman who later turns him into a gigolo (male prostitute).,6.4,"4,080"
Kisi ka Bhai Kisi Ki Jaan,,null,null,Action            ,A journey of shyam from cocoon to buttery in search of true love.,8.2,57
Anth the End,2022,UA,105 min,"Mystery, Thriller            ",A young boy's father is lynched before his eyes; fifteen years later he returns home for revenge.,6.9,"24,954"
